Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Arab World,ARB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7478493,7509429,7567118,7438706,7486016,7677399,..,..,..,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.36144,5.77611,5.54549,5.46223,..,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,111.34255,111.2357,110.60607,109.62778,..,..,..,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99794,0.99881,0.99764,0.99797,..,..,..,..,..,..
Argentina,ARG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,4205,2420,19510,18743,..,..,..,..,..,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.24724,2.80591,2.75812,2.70759,..,..,..,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,97.53677,95.77111,94.96555,94.2442,92.6959,92.10543,..,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01302,1.01521,1.0089,1.00321,0.99961,1.00534,..,..,..,..
Armenia,ARM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,8641,10601,11786,12428,11426,14928,..,..,..,..
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.90521,5.97571,5.52415,..,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,115.20468,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96864,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7,..,..,..,..,..,..,..,..,..
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.16477,5.31127,5.27678,5.12425,..,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.32171,101.61505,100.73303,100.33393,100.1046,..,..,..,..,..
Australia,AUS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9975,1.00029,0.99978,0.9999,0.99891,..,..,..,..,..
Australia,AUS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,1742,1861,955,7031,9614,..,..,..,..,..
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.44762,5.45658,5.48435,5.35804,..,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.29374,101.52334,101.99711,102.96837,103.04343,..,..,..,..,..
Austria,AUT,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99359,0.99097,0.99492,0.99727,0.99488,..,..,..,..,..
Austria,AUT,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,2102,1512,663,149,143,..,..,..,..,..
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.63304,2.95168,2.90341,2.47382,2.45543,..,..,..,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.49295,105.63598,105.8647,104.19372,100.01462,99.53544,..,..,..,..
Azerbaijan,AZE,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99002,0.98318,0.99011,1.01633,1.00546,1.03081,..,..,..,..
Azerbaijan,AZE,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,3638,5980,4338,12166,24803,55687,..,..,..,..
"Bahamas, The",BHS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,82.33325,85.06866,81.7346,..,81.15878,..,..,..,..,..
"Bahamas, The",BHS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97952,0.97338,1.00666,..,0.99507,..,..,..,..,..
"Bahamas, The",BHS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,8422,6982,8399,..,8533,..,..,..,..,..
Bahrain,BHR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.46746,2.66808,..,2.32781,..,..,..,..,..,..
Bahrain,BHR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.35145,101.70948,102.16062,100.99798,98.75316,97.73763,..,..,..,..
Bahrain,BHR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01229,1.00991,1.02083,0.9958,0.98787,0.99417,..,..,..,..
Bahrain,BHR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,3777,1408,1350,585,1188,2770,..,..,..,..
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,1.53554,..,..,1.32632,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,119.05796,120.75175,..,..,..,..,..
Bangladesh,BGD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,1.07176,1.07471,..,..,..,..,..
Bangladesh,BGD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.1435,..,4.95139,4.36638,..,..,..,..,..,..
Barbados,BRB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,95.40845,95.57431,97.16936,96.00156,97.46608,98.15725,..,..,..,..
Barbados,BRB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00442,0.99302,0.99771,0.96503,0.96328,0.95805,..,..,..,..
Barbados,BRB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,1449,905,418,719,328,212,..,..,..,..
Belarus,BLR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.81831,4.78752,4.94655,4.79499,..,..,..,..,..,..
Belarus,BLR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,98.46263,99.22947,101.22424,101.67542,100.38261,..,..,..,..,..
Belarus,BLR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00314,1.00156,1.00284,0.99448,0.99773,..,..,..,..,..
Belarus,BLR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7716,5885,2107,3556,5544,..,..,..,..,..
Belgium,BEL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.59047,6.45157,6.45954,6.41228,..,..,..,..,..,..
Belgium,BEL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.63292,103.06613,103.25745,103.9583,103.60319,..,..,..,..,..
Belgium,BEL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99971,0.9983,0.99886,1.00099,1.00478,..,..,..,..,..
Belgium,BEL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9806,7403,5451,2164,4131,..,..,..,..,..
Belize,BLZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.61473,6.88889,7.28477,7.50989,7.56149,..,..,..,..,..
Belize,BLZ,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,108.85525,110.18898,111.62242,110.36801,108.73155,108.59159,..,..,..,..
Belize,BLZ,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.95336,0.95398,0.95204,0.95157,0.9492,0.96679,..,..,..,..
Belize,BLZ,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,293,190,240,148,302,221,..,..,..,..
Benin,BEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.16179,3.17298,2.8991,3.53559,2.93397,..,..,..,..,..
Benin,BEN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,124.42811,127.615,126.53536,122.3356,117.95891,112.39728,..,..,..,..
Benin,BEN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.92427,0.93024,0.93627,0.93503,0.93733,0.92968,..,..,..,..
Benin,BEN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,59910,..,..,52739,50858,120970,..,..,..,..
Bermuda,BMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.78285,1.6986,..,1.50039,..,..,..,..,..,..
Bermuda,BMU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,96.54165,100.19871,..,..,..,..,..,..,..,..
Bermuda,BMU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96997,0.98176,..,..,..,..,..,..,..,..
Bermuda,BMU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.0449,7.5901,6.99333,7.22574,6.85084,..,..,..,..,..
Bhutan,BTN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,106.22304,104.80431,102.90592,101.26469,100.22383,..,106.63319,..,..,..
Bhutan,BTN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01405,1.01085,1.00472,0.99865,1.00166,..,1.01541,..,..,..
Bhutan,BTN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,9398,9687,9574,7456,..,3252,..,..,..
Bolivia,BOL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,94.75959,94.9035,95.74906,96.87381,97.64904,..,..,..,..,..
Bolivia,BOL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97691,0.97968,0.98378,0.98696,0.99004,..,..,..,..,..
Bolivia,BOL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,160472,154801,140451,118356,95364,..,..,..,..,..
Bosnia and Herzegovina,BIH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.14022,102.06448,..,..,..,..,..,..,..,..
Botswana,BWA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97034,0.97776,..,..,..,..,..,..,..,..
Botswana,BWA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,36284,..,..,..,..,..,..,..,..,..
Brazil,BRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.94848,6.24106,6.31404,6.32255,..,..,..,..,..,..
Brazil,BRA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,5.13479,..,2.35899,2.46599,..,..,..,..,..
British Virgin Islands,VGB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,108.65922,114.52555,118.67794,125.92593,102.45763,..,..,..,..,..
British Virgin Islands,VGB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.954,0.93656,0.94539,0.95761,0.99819,..,..,..,..,..
British Virgin Islands,VGB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,20,..,..,..,48,..,..,..,..,..
Brunei Darussalam,BRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.35319,..,4.42541,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.53414,105.34552,107.06718,104.86244,103.59343,100.53287,..,..,..,..
Brunei Darussalam,BRN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00076,0.99665,0.99899,1.00009,1.00833,1.00842,..,..,..,..
Brunei Darussalam,BRN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,62,260,59,145,295,225,..,..,..,..
Bulgaria,BGR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,4.0925,..,..,..,..,..,..
Bulgaria,BGR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,96.28931,93.70726,90.58599,89.05228,87.19066,..,..,..,..,..
Bulgaria,BGR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99253,0.98992,0.98943,0.99389,0.99441,..,..,..,..,..
Bulgaria,BGR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,15467,21711,29488,34641,39977,..,..,..,..,..
Burkina Faso,BFA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.0533,3.67009,..,5.60347,5.38379,..,..,..,..,..
Burkina Faso,BFA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,86.17988,87.20173,90.09287,92.92847,95.27731,94.28289,..,..,..,..
Burkina Faso,BFA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97429,0.97444,0.97828,0.9849,0.9835,0.99476,..,..,..,..
Burkina Faso,BFA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,937911,917327,761443,746617,689266,748275,..,..,..,..
Burundi,BDI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.78452,6.37054,4.692,4.76202,5.07865,..,..,..,..,..
Burundi,BDI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,136.47199,132.81546,129.4978,124.78438,122.17842,119.83962,..,..,..,..
Burundi,BDI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.0328,1.02956,1.02292,1.01499,1.0125,1.01483,..,..,..,..
Burundi,BDI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,74286,114262,140973,..,..,..,..
Cabo Verde,CPV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.96387,5.26691,5.28879,5.18175,..,..,..,..,..,..
Cabo Verde,CPV,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.22404,101.7281,100.23744,99.66911,100.4555,..,..,..,..,..
Cabo Verde,CPV,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.92505,0.93139,0.9322,0.93291,0.93421,..,..,..,..,..
Cabo Verde,CPV,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,4196,4110,4420,4306,3973,..,..,..,..,..
Cambodia,KHM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.90939,..,..,..,2.16286,..,..,..,..,..
Cambodia,KHM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.54032,116.65059,108.74761,106.46344,106.07808,105.0312,..,..,..,..
Cambodia,KHM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.94616,0.99283,0.97469,0.97582,0.976,0.97389,..,..,..,..
Cambodia,KHM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,84830,82584,134186,180125,186109,190043,..,..,..,..
Cameroon,CMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.68713,2.76805,2.65423,3.15482,3.1312,..,..,..,..,..
Cameroon,CMR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,106.69805,109.93873,109.98694,104.50628,98.0121,100.20982,..,..,..,..
Cameroon,CMR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.89088,0.89826,0.90038,0.90056,0.90162,0.90121,..,..,..,..
Cameroon,CMR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,174485,164168,192130,258823,..,346513,..,..,..,..
Canada,CAN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.15868,102.90796,101.06847,100.81914,101.2754,..,..,..,..,..
Canada,CAN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01199,1.00807,1.00086,0.99759,0.99566,..,..,..,..,..
Canada,CAN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,13487,9238,1013,2753,5025,..,..,..,..,..
Cayman Islands,CYM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,86.12836,..,..,..,..,..
Cayman Islands,CYM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,0.96686,..,..,..,..,..
Cayman Islands,CYM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,511,..,..,..,..,..
Central African Republic,CAF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,89.3694,..,..,..,..,..,..,..
Central African Republic,CAF,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,0.7801,..,..,..,..,..,..,..
Central African Republic,CAF,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,2.45482,..,..,..,..,..,..
Chad,TCD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,87.31285,79.44822,75.46867,67.69158,78.49581,78.04171,..,..,..,..
Chad,TCD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.754,0.76636,0.76868,0.75711,0.77783,0.77824,..,..,..,..
Chad,TCD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,511634,674855,840265,693571,723879,..,..,..,..
Channel Islands,CHI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.73095,4.87531,5.34201,5.41946,..,..,..,..,..,..
Chile,CHL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.34767,99.13218,99.45711,99.94247,100.664,..,..,..,..,..
Chile,CHL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96944,0.97015,0.97082,0.97158,0.97127,..,..,..,..,..
Chile,CHL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,56759,54386,45312,33899,19351,..,..,..,..,..
China,CHN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,95.83343,96.44554,98.22966,99.90993,100.83158,102.56461,..,..,..,..
China,CHN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00072,1.00246,1.00509,1.00948,1.01135,1.01172,..,..,..,..
China,CHN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Colombia,COL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.62946,4.47039,4.47721,4.53551,4.45749,..,..,..,..,..
Colombia,COL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,112.65401,113.40598,114.59583,113.11086,112.75912,..,..,..,..,..
Colombia,COL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9682,0.96946,0.97279,0.96862,0.97025,..,..,..,..,..
Colombia,COL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,140666,175096,100446,85793,..,..,..,..,..
Comoros,COM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.74473,2.54506,..,..,..,..,..,..,..,..
